#Kernelized
#bias 1
#labels 2
#kernel 1
1
158
0.1 0.1  1:1.9915431e+00 2:3.9639649e+00
1.000000e-01 1.000000e-01  1:6.7691702e-01 2:3.0460399e-01
7.183062e-02 7.362255e-02  1:2.1836970e+00 2:1.9973960e+00
1.000000e-01 1.000000e-01  1:3.0837970e+00 2:2.1436651e+00
1.000000e-01 1.000000e-01  1:3.0995510e+00 2:3.3806391e+00
1.000000e-01 1.000000e-01  1:2.8541231e+00 2:1.5898870e+00
1.000000e-01 1.000000e-01  1:4.3441501e-01 2:3.4389570e+00
1.000000e-01 1.000000e-01  1:5.7522398e-01 2:2.1854291e+00
1.000000e-01 1.000000e-01  1:1.5783989e+00 2:4.4305101e-01
1.000000e-01 1.000000e-01  1:2.4234569e+00 2:1.0034980e+00
1.000000e-01 1.000000e-01  1:2.9177830e+00 2:3.1870320e+00
9.309556e-02 9.037691e-02  1:1.9304770e+00 2:2.1939440e+00
1.000000e-01 1.000000e-01  1:3.5799251e+00 2:9.1088498e-01
1.000000e-01 1.000000e-01  1:3.1734359e+00 2:1.6644980e+00
1.000000e-01 1.000000e-01  1:4.1745968e+00 2:2.7295570e+00
1.000000e-01 1.000000e-01  1:2.4253359e+00 2:1.0669810e+00
1.000000e-01 1.000000e-01  1:1.6005830e+00 2:3.2537069e+00
1.000000e-01 1.000000e-01  1:7.2251701e-01 2:1.2713979e+00
1.000000e-01 1.000000e-01  1:2.7438350e+00 2:3.9696970e+00
1.000000e-01 1.000000e-01  1:3.4152091e+00 2:1.3762460e+00
1.000000e-01 1.000000e-01  1:1.9938120e+00 2:3.3620000e+00
1.000000e-01 1.000000e-01  1:6.6329300e-01 2:1.0546480e+00
1.000000e-01 1.000000e-01  1:1.3658860e+00 2:1.4499930e+00
1.000000e-01 1.000000e-01  1:9.1462702e-01 2:6.6445398e-01
1.000000e-01 1.000000e-01  1:1.4240210e+00 2:2.6048379e+00
1.000000e-01 1.000000e-01  1:2.0603409e+00 2:3.0334530e+00
1.000000e-01 1.000000e-01  1:2.1296971e+00 2:2.0029149e+00
1.000000e-01 1.000000e-01  1:3.8014860e+00 2:2.8777709e+00
1.000000e-01 1.000000e-01  1:4.0744901e+00 2:3.0160670e+00
1.000000e-01 1.000000e-01  1:4.1307759e+00 2:4.0806961e+00
1.000000e-01 1.000000e-01  1:1.2628280e+00 2:1.1357400e+00
1.000000e-01 1.000000e-01  1:3.0044889e+00 2:3.1371269e+00
1.000000e-01 1.000000e-01  1:1.4562581e+00 2:1.2449220e+00
1.000000e-01 1.000000e-01  1:2.9872329e+00 2:7.7758503e-01
1.000000e-01 1.000000e-01  1:3.0805621e+00 2:2.7292161e+00
1.000000e-01 1.000000e-01  1:5.7197100e-01 2:2.1005509e+00
1.000000e-01 1.000000e-01  1:1.3191611e+00 2:2.1349020e+00
1.000000e-01 1.000000e-01  1:1.1961600e+00 2:2.9477789e+00
1.000000e-01 1.000000e-01  1:2.9713309e+00 2:3.3811419e+00
1.000000e-01 1.000000e-01  1:3.6775689e+00 2:1.7008719e+00
