nodeid	1	2	3	4	5	6
1	0.9305817585018648	2.7038649267652826E-5	5.847424859791967E-6	5.847424859791967E-6	5.847424859791967E-6	1.9359827306327627E-5
2	1.0	2.159008543360335E-4	4.671808777470472E-5	4.671808777470472E-5	4.671808777470472E-5	1.5444159584050227E-4
3	1.0	5.242520620532795E-5	1.1338436820454237E-5	1.1338436820454237E-5	1.1338436820454237E-5	3.7532077986692414E-5
4	4.5773161682441785E-5	0.3083726790166201	8.50461365513082E-6	8.50461365513082E-6	0.05419689317185106	2.8154612877199222E-5
5	0.3927228856242255	0.39994126138796215	2.3376523915066442E-5	2.3376523915066442E-5	2.3376523915066442E-5	0.7789598779765375
6	3.3488023833752774E-4	0.9999999999999998	6.225959164444194E-5	6.225959164444194E-5	6.225959164444194E-5	2.0569989434746295E-4
7	6.679435645934456E-4	0.9957008683723674	1.2427101929799646E-4	1.2427101929799646E-4	1.2427101929799646E-4	4.096388464120456E-4
8	1.0	9.607087493422745E-5	2.0780833375689585E-5	2.0780833375689585E-5	2.0780833375689585E-5	6.8763824750931E-5
9	1.0	2.159008543360335E-4	4.671808777470472E-5	4.671808777470472E-5	4.671808777470472E-5	1.5444159584050227E-4
10	1.0	4.119587379985642E-5	8.90946157751968E-6	8.90946157751968E-6	8.90946157751968E-6	2.9494493366966593E-5
11	5.034855129445949E-5	1.0	9.354809264333902E-6	9.354809264333902E-6	9.354809264333902E-6	3.096822578258213E-5
12	2.8712780434454223E-4	2.6116646778433835E-4	6.225959164444194E-5	6.225959164444194E-5	6.225959164444194E-5	0.9999883678148349
13	1.0	1.2348582767313579E-4	2.671315053281678E-5	2.671315053281678E-5	2.671315053281678E-5	8.83742690391001E-5
14	1.0	2.4666771326432076E-4	5.3380710757805374E-5	5.3380710757805374E-5	5.3380710757805374E-5	1.7642300114958332E-4
15	1.0	2.876601171246931E-4	6.225959164444194E-5	6.225959164444194E-5	6.225959164444194E-5	2.0569989434746295E-4
17	7.457577447101021E-5	1.0	1.3856983168998692E-5	1.3856983168998692E-5	1.3856983168998692E-5	4.586455789659583E-5
16	1.0	4.3087060953254225E-4	9.32961856058319E-5	9.32961856058319E-5	9.32961856058319E-5	3.0788769688143604E-4
19	4.9121024314419374E-5	1.0	9.126708003328196E-6	9.126708003328196E-6	9.126708003328196E-6	3.0213386380154505E-5
18	8.753624491467799E-5	7.520168919368108E-5	1.626563366878817E-5	1.626563366878817E-5	0.27670245058125353	5.383205043597019E-5
21	1.0	0.19663589126557882	9.847019894827011E-6	9.847019894827011E-6	9.847019894827011E-6	3.2597014791292214E-5
20	6.102322489665696E-5	0.9756154561757631	1.1338436820454237E-5	1.1338436820454237E-5	0.10502404960257383	3.7532077986692414E-5
23	1.1840156971740018E-4	1.0171640047488756E-4	2.200237664003502E-5	2.200237664003502E-5	0.2759211603303487	7.280266606460119E-5
22	1.0	0.07236330510296861	1.626563366878817E-5	1.626563366878817E-5	1.626563366878817E-5	5.383205043597019E-5
25	0.9825611018658692	0.3022021610263552	0.09259839420170402	1.7004585932453193E-5	1.7004585932453193E-5	5.627608101446774E-5
24	0.3405619469320502	0.3321068047186158	8.315664661767383E-6	8.315664661767383E-6	0.1014914744956934	2.752929573619931E-5
27	0.746966956849242	0.7507651481580292	1.2069678408082636E-5	1.2069678408082636E-5	1.2069678408082636E-5	3.9951502755298714E-5
26	0.1889715653152804	0.5515589359012837	1.0690740033377982E-5	1.0690740033377982E-5	1.0690740033377982E-5	3.538891852426177E-5
