nodeid	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.8764227308321683	0.2246205785123967	1.8716863636363638E-5	1.653724977043159E-5	1.8716863636363638E-5	0.07488614876033056	0.0	1.8716863636363638E-5	1.8168599108797043E-5	1.8716863636363638E-5	1.8716863636363638E-5	1.5618899999999997E-5	1.5618899999999997E-5	1.5618899999999997E-5	1.9835484526372328E-5
2	0.9984939011576641	1.4932723140495866E-4	1.4932723140495866E-4	1.3193779530845643E-4	1.4932723140495866E-4	1.4932723140495866E-4	0.0	1.4932723140495866E-4	1.4495305710045584E-4	1.4932723140495866E-4	1.4932723140495866E-4	1.2461099999999998E-4	1.2461099999999998E-4	1.2461099999999998E-4	1.5825183350401002E-4
3	3.6286070247933885E-5	0.9985673806180446	3.6286070247933885E-5	3.206048932854718E-5	3.6286070247933885E-5	3.6286070247933885E-5	0.0	3.6286070247933885E-5	3.5223158985222094E-5	3.6286070247933885E-5	3.6286070247933885E-5	3.02801E-5	3.02801E-5	3.02801E-5	3.8454721843856276E-5
4	2.7219735537190086E-5	2.7219735537190086E-5	2.7219735537190086E-5	0.9396163703630238	2.7219735537190086E-5	2.7219735537190086E-5	0.0	2.7219735537190086E-5	0.801288121088599	0.2722237190082645	2.7219735537190086E-5	2.27144E-5	0.0681658	2.27144E-5	2.884653398932266E-5
5	7.477985537190082E-5	7.477985537190082E-5	0.4487534297520661	6.607160099618778E-5	7.477985537190082E-5	7.477985537190082E-5	0.0	7.477985537190082E-5	7.258936326416763E-5	7.477985537190082E-5	7.477985537190082E-5	6.24025E-5	6.24025E-5	6.24025E-5	0.6922346988564283
6	1.988956611570248E-4	1.988956611570248E-4	1.988956611570248E-4	1.757338884714918E-4	1.988956611570248E-4	1.988956611570248E-4	0.0	1.988956611570248E-4	1.93069501506674E-4	0.9985626466390667	1.988956611570248E-4	1.6597500000000004E-4	1.6597500000000004E-4	1.6597500000000004E-4	2.107827404147954E-4
7	3.961483884297521E-4	3.961483884297521E-4	3.961483884297521E-4	3.5001616579013274E-4	3.961483884297521E-4	3.961483884297521E-4	0.0	3.961483884297521E-4	1.0	3.961483884297521E-4	3.961483884297521E-4	3.3057900000000006E-4	3.3057900000000006E-4	3.3057900000000006E-4	4.198243563403082E-4
8	6.64825E-5	0.9989347613817907	6.64825E-5	5.874048821548822E-5	6.64825E-5	6.64825E-5	0.0	6.64825E-5	6.453505852892309E-5	6.64825E-5	6.64825E-5	5.547850000000001E-5	5.547850000000001E-5	5.547850000000001E-5	7.04558533761243E-5
9	1.4932723140495866E-4	0.99895132799853	1.4932723140495866E-4	1.3193779530845643E-4	1.4932723140495866E-4	1.4932723140495866E-4	0.0	1.4932723140495866E-4	1.4495305710045584E-4	1.4932723140495866E-4	1.4932723140495866E-4	1.2461099999999998E-4	1.2461099999999998E-4	1.2461099999999998E-4	1.5825183350401002E-4
10	2.851514876033058E-5	0.9987741386530338	2.851514876033058E-5	2.5194506219216966E-5	2.851514876033058E-5	2.851514876033058E-5	0.0	2.851514876033058E-5	2.7679867547232475E-5	2.851514876033058E-5	2.851514876033058E-5	2.37954E-5	2.37954E-5	2.37954E-5	3.0219368105234052E-5
11	2.9939983471074377E-5	2.9939983471074377E-5	2.9939983471074377E-5	2.645341625622617E-5	2.9939983471074377E-5	2.9939983471074377E-5	0.0	2.9939983471074377E-5	2.9062965226349416E-5	0.9984420343644163	2.9939983471074377E-5	2.49844E-5	2.49844E-5	2.49844E-5	3.1729358636056115E-5
12	1.988956611570248E-4	1.988956611570248E-4	1.988956611570248E-4	1.757338884714918E-4	1.988956611570248E-4	1.988956611570248E-4	0.0	1.988956611570248E-4	1.93069501506674E-4	1.988956611570248E-4	1.988956611570248E-4	1.6597500000000004E-4	1.6597500000000004E-4	1.6597500000000004E-4	0.998525627585796
13	1.0	0.17097297520661156	8.544358677685951E-5	7.549352088376883E-5	8.544358677685951E-5	8.544358677685951E-5	0.0	8.544358677685951E-5	8.294072686144094E-5	8.544358677685951E-5	8.544358677685951E-5	7.130120000000001E-5	7.130120000000001E-5	7.130120000000001E-5	9.055015713730025E-5
14	0.9986393413524821	1.7058351239669422E-4	1.7058351239669422E-4	1.507187425216351E-4	1.7058351239669422E-4	1.7058351239669422E-4	0.0	1.7058351239669422E-4	1.6558668757327025E-4	1.7058351239669422E-4	1.7058351239669422E-4	1.4234899999999997E-4	1.4234899999999997E-4	1.4234899999999997E-4	1.807785046862823E-4
15	0.9985983034236492	1.988956611570248E-4	1.988956611570248E-4	1.757338884714918E-4	1.988956611570248E-4	1.988956611570248E-4	0.0	1.988956611570248E-4	1.93069501506674E-4	1.988956611570248E-4	1.988956611570248E-4	1.6597500000000004E-4	1.6597500000000004E-4	1.6597500000000004E-4	2.107827404147954E-4
17	4.434219834710744E-5	4.434219834710744E-5	4.434219834710744E-5	3.917846620474718E-5	4.434219834710744E-5	4.434219834710744E-5	0.0	4.434219834710744E-5	1.0	4.434219834710744E-5	4.434219834710744E-5	3.7002800000000004E-5	3.7002800000000004E-5	3.7002800000000004E-5	4.699232768200386E-5
16	0.9979243686589028	2.9772574380165285E-4	2.9772574380165285E-4	2.630550226785764E-4	2.9772574380165285E-4	2.9772574380165285E-4	0.0	2.9772574380165285E-4	2.890045997338672E-4	2.9772574380165285E-4	2.9772574380165285E-4	2.4844699999999995E-4	2.4844699999999995E-4	2.4844699999999995E-4	3.155194427343557E-4
19	2.9210190082644628E-5	2.9210190082644628E-5	2.9210190082644628E-5	2.5808608676294626E-5	2.9210190082644628E-5	2.9210190082644628E-5	0.0	2.9210190082644628E-5	0.9995121398977564	2.9210190082644628E-5	2.9210190082644628E-5	2.43754E-5	2.43754E-5	2.43754E-5	3.095594885197653E-5
18	5.204553305785124E-5	5.204553305785124E-5	5.204553305785124E-5	1.0	5.204553305785124E-5	5.204553305785124E-5	0.0	5.204553305785124E-5	1.0	5.204553305785124E-5	5.204553305785124E-5	4.34311E-5	4.34311E-5	4.34311E-5	5.5156055292839404E-5
21	3.1514731404958676E-5	0.9680542051768617	0.22063487603305784	2.7844781840442997E-5	3.1514731404958676E-5	3.1514731404958676E-5	0.0	3.1514731404958676E-5	3.059158478911441E-5	3.1514731404958676E-5	3.1514731404958676E-5	2.62985E-5	2.62985E-5	2.62985E-5	3.339822201414969E-5
20	3.6286070247933885E-5	3.6286070247933885E-5	3.6286070247933885E-5	0.12124767631195747	3.6286070247933885E-5	3.6286070247933885E-5	0.0	3.6286070247933885E-5	0.12295084871560238	3.6286070247933885E-5	0.9992996581934801	3.02801E-5	3.02801E-5	3.02801E-5	3.8454721843856276E-5
23	7.038755371900827E-5	7.038755371900827E-5	7.038755371900827E-5	1.0	7.038755371900827E-5	7.038755371900827E-5	0.0	7.038755371900827E-5	0.9999999999999998	7.038755371900827E-5	7.038755371900827E-5	5.873719999999999E-5	5.873719999999999E-5	5.873719999999999E-5	7.459429420269268E-5
